,Company,Product,Price (in Yen)
1,Bandai,Kamen Rider Double Prismbicker,6825
2,Bandai,Kamen Rider Henshinbelt DX Doubledriver,6825
3,Bandai,Gosei Headder Series DX Gosei Great,7875
4,Tomy,Beyblade BB-76 Galaxy Pegasus DX Set,3780
5,Tomy,Beyblade BB-70 Starter Galaxy Pegasus,1600
6,Bandai,Heartcatch Precure! Kokoro pot,4935
7,Tomy,Beyblade BB-71 Starter Rey Unicorno,1600
8,Tomy,Beyblade BB-75 Beyblade Deck Entry set,2625
9,Bandai,Heartcatch Precure! Shipure & Kofure| - My Heart is always with you - ,6195
10,Bandai,Gosei Headder Series DX Datas Hyper,5775
11,Bandai,Gosei Headder Series DX Datas Hyper,5775